geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Columbia,driving,NA,South Carolina,United States,2020-09-20,115.11
city,Columbia,driving,NA,South Carolina,United States,2020-09-21,126.53
city,Columbia,driving,NA,South Carolina,United States,2020-09-22,129.48
city,Columbia,driving,NA,South Carolina,United States,2020-09-23,128.92
city,Columbia,driving,NA,South Carolina,United States,2020-09-24,137.58
city,Columbia,driving,NA,South Carolina,United States,2020-09-25,163.25
city,Columbia,driving,NA,South Carolina,United States,2020-09-26,164.36
city,Columbia,driving,NA,South Carolina,United States,2020-09-27,115.59
city,Columbia,driving,NA,South Carolina,United States,2020-09-28,117.73
city,Columbia,driving,NA,South Carolina,United States,2020-09-29,118.68
city,Columbia,driving,NA,South Carolina,United States,2020-09-30,131.13
city,Columbia,driving,NA,South Carolina,United States,2020-10-01,139.38
city,Columbia,driving,NA,South Carolina,United States,2020-10-02,164.56
city,Columbia,driving,NA,South Carolina,United States,2020-10-03,173.78
city,Columbia,driving,NA,South Carolina,United States,2020-10-04,115.92
city,Columbia,driving,NA,South Carolina,United States,2020-10-05,121.5
city,Columbia,driving,NA,South Carolina,United States,2020-10-06,125.47
city,Columbia,driving,NA,South Carolina,United States,2020-10-07,129.2
city,Columbia,driving,NA,South Carolina,United States,2020-10-08,135.82
city,Columbia,driving,NA,South Carolina,United States,2020-10-09,156.77
city,Columbia,driving,NA,South Carolina,United States,2020-10-10,139.79
city,Columbia,walking,NA,South Carolina,United States,2020-01-13,100
city,Columbia,walking,NA,South Carolina,United States,2020-01-14,91.71
city,Columbia,walking,NA,South Carolina,United States,2020-01-15,76.74
city,Columbia,walking,NA,South Carolina,United States,2020-01-16,74.94
city,Columbia,walking,NA,South Carolina,United States,2020-01-17,75.16
city,Columbia,walking,NA,South Carolina,United States,2020-01-18,71.45
city,Columbia,walking,NA,South Carolina,United States,2020-01-19,44.19
city,Columbia,walking,NA,South Carolina,United States,2020-01-20,51.92
city,Columbia,walking,NA,South Carolina,United States,2020-01-21,54.62
city,Columbia,walking,NA,South Carolina,United States,2020-01-22,58.19
city,Columbia,walking,NA,South Carolina,United States,2020-01-23,63.04
city,Columbia,walking,NA,South Carolina,United States,2020-01-24,64.51
city,Columbia,walking,NA,South Carolina,United States,2020-01-25,77.3
city,Columbia,walking,NA,South Carolina,United States,2020-01-26,41.18
city,Columbia,walking,NA,South Carolina,United States,2020-01-27,53.24
city,Columbia,walking,NA,South Carolina,United States,2020-01-28,58.56
city,Columbia,walking,NA,South Carolina,United States,2020-01-29,59.15
city,Columbia,walking,NA,South Carolina,United States,2020-01-30,81.14
city,Columbia,walking,NA,South Carolina,United States,2020-01-31,63.73
city,Columbia,walking,NA,South Carolina,United States,2020-02-01,78.83
city,Columbia,walking,NA,South Carolina,United States,2020-02-02,44.42
city,Columbia,walking,NA,South Carolina,United States,2020-02-03,50.9
city,Columbia,walking,NA,South Carolina,United States,2020-02-04,56.64
city,Columbia,walking,NA,South Carolina,United States,2020-02-05,58.57
city,Columbia,walking,NA,South Carolina,United States,2020-02-06,49.45
city,Columbia,walking,NA,South Carolina,United States,2020-02-07,77.96
city,Columbia,walking,NA,South Carolina,United States,2020-02-08,81.92
city,Columbia,walking,NA,South Carolina,United States,2020-02-09,42.69
city,Columbia,walking,NA,South Carolina,United States,2020-02-10,57.19
city,Columbia,walking,NA,South Carolina,United States,2020-02-11,59.66
city,Columbia,walking,NA,South Carolina,United States,2020-02-12,55.9
city,Columbia,walking,NA,South Carolina,United States,2020-02-13,62.25
city,Columbia,walking,NA,South Carolina,United States,2020-02-14,89.3
city,Columbia,walking,NA,South Carolina,United States,2020-02-15,85.71
city,Columbia,walking,NA,South Carolina,United States,2020-02-16,41.28
city,Columbia,walking,NA,South Carolina,United States,2020-02-17,54.51
city,Columbia,walking,NA,South Carolina,United States,2020-02-18,55.24
city,Columbia,walking,NA,South Carolina,United States,2020-02-19,55.27
city,Columbia,walking,NA,South Carolina,United States,2020-02-20,53.68
city,Columbia,walking,NA,South Carolina,United States,2020-02-21,71.64
city,Columbia,walking,NA,South Carolina,United States,2020-02-22,84.58
city,Columbia,walking,NA,South Carolina,United States,2020-02-23,40.69
city,Columbia,walking,NA,South Carolina,United States,2020-02-24,48.12
city,Columbia,walking,NA,South Carolina,United States,2020-02-25,55.36
city,Columbia,walking,NA,South Carolina,United States,2020-02-26,55.93
city,Columbia,walking,NA,South Carolina,United States,2020-02-27,62.37
city,Columbia,walking,NA,South Carolina,United States,2020-02-28,86.27
city,Columbia,walking,NA,South Carolina,United States,2020-02-29,131.71
city,Columbia,walking,NA,South Carolina,United States,2020-03-01,46.79
city,Columbia,walking,NA,South Carolina,United States,2020-03-02,49.57
city,Columbia,walking,NA,South Carolina,United States,2020-03-03,50.67
city,Columbia,walking,NA,South Carolina,United States,2020-03-04,55.57
city,Columbia,walking,NA,South Carolina,United States,2020-03-05,54.03
city,Columbia,walking,NA,South Carolina,United States,2020-03-06,70.55
city,Columbia,walking,NA,South Carolina,United States,2020-03-07,75.92
city,Columbia,walking,NA,South Carolina,United States,2020-03-08,36.94
city,Columbia,walking,NA,South Carolina,United States,2020-03-09,43.7
city,Columbia,walking,NA,South Carolina,United States,2020-03-10,43.88
city,Columbia,walking,NA,South Carolina,United States,2020-03-11,45.4
city,Columbia,walking,NA,South Carolina,United States,2020-03-12,46.43
city,Columbia,walking,NA,South Carolina,United States,2020-03-13,50.86
city,Columbia,walking,NA,South Carolina,United States,2020-03-14,52.94
city,Columbia,walking,NA,South Carolina,United States,2020-03-15,30.45
city,Columbia,walking,NA,South Carolina,United States,2020-03-16,36.11
city,Columbia,walking,NA,South Carolina,United States,2020-03-17,32.85
city,Columbia,walking,NA,South Carolina,United States,2020-03-18,31.33
city,Columbia,walking,NA,South Carolina,United States,2020-03-19,33.56
city,Columbia,walking,NA,South Carolina,United States,2020-03-20,34.25
city,Columbia,walking,NA,South Carolina,United States,2020-03-21,32.3
city,Columbia,walking,NA,South Carolina,United States,2020-03-22,21.18
city,Columbia,walking,NA,South Carolina,United States,2020-03-23,22.45
city,Columbia,walking,NA,South Carolina,United States,2020-03-24,21.72
city,Columbia,walking,NA,South Carolina,United States,2020-03-25,30.36
city,Columbia,walking,NA,South Carolina,United States,2020-03-26,27.55
city,Columbia,walking,NA,South Carolina,United States,2020-03-27,29.78
city,Columbia,walking,NA,South Carolina,United States,2020-03-28,28.18
city,Columbia,walking,NA,South Carolina,United States,2020-03-29,20.57
city,Columbia,walking,NA,South Carolina,United States,2020-03-30,25.32
city,Columbia,walking,NA,South Carolina,United States,2020-03-31,23.24
city,Columbia,walking,NA,South Carolina,United States,2020-04-01,25.31
city,Columbia,walking,NA,South Carolina,United States,2020-04-02,28.94
city,Columbia,walking,NA,South Carolina,United States,2020-04-03,30.83
city,Columbia,walking,NA,South Carolina,United States,2020-04-04,25.87
city,Columbia,walking,NA,South Carolina,United States,2020-04-05,23.14
city,Columbia,walking,NA,South Carolina,United States,2020-04-06,28.57
city,Columbia,walking,NA,South Carolina,United States,2020-04-07,27.29
